Variable Name,Variable Description
SMQ661,"During the past 30 days, on the days that you smoked, which brand of cigarettes did you usually smoke?"
SMQ665A,"Please select the Marlboro pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Marlboro.'"
SMQ665B,"Please select the Camel pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Camel.'"
SMQ665C,"Please select the Newport pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Newport.'"
SMQ665D,"Please select the pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other brand of cigarette.'"
SMQ670,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?"
SMQ848,"During the past 12 months, how many times {have you/has SP} stopped smoking cigarettes because {you were/he was/she was} trying to quit smoking?"
SMQ852Q,"The last time {you/SP} tried to quit, how long {were you/was he/was she} able to stop smoking?"
SMQ852U,"The last time {you/SP} tried to quit, how long {were you/was he/was she} able to stop smoking?"
SEQN,Respondent sequence number.
SMAQUEX,Questionnaire Mode Flag.
SMDANY,Used any tobacco product last 5 days?
SMQ681,"The following questions ask about use of tobacco products in the past 5 days.  During the past 5 days, including today, did you smoke cigarettes, pipes, cigars, little cigars or cigarillos, water pipes, hookahs, or e-cigarettes?"
SMQ690A,Which of these products did {you/he/she} use?
SMQ690B,Which of these products did {you/he/she} use?
SMQ690C,Which of these products did {you/he/she} use?
SMQ690D,Which of these products did {you/he/she} use?
SMQ690E,Which of these products did {you/he/she} use?
SMQ690F,Which of these products did {you/he/she} use?
SMQ690G,Which of these products did {you/he/she} use?
SMQ690H,Which of these products did {you/he/she} use?
SMQ690I,Which of these products did {you/he/she} use?
SMQ690J,Which of these products did {you/he/she} use?
SMQ710,"During the past 5 days, including today, on how many days did {you/he/she} smoke cigarettes?"
SMQ720,"During the past 5 days, including today, on the days {you/he/she} smoked, how many cigarettes did {you/he/she} smoke each day?"
SMQ725,When did {you/he/she} smoke {your/his/her} last cigarette? Was it...
SMQ740,"During the past 5 days, including today, on how many days did {you/he/she} smoke a pipe?"
SMQ770,"During the past 5 days, including today, on how many days did {you/he/she} smoke cigars, or little cigars or cigarillos?"
SMQ800,"During the past 5 days, including today, on how many days did {you/he/she} use chewing tobacco, such as Redman, Levi Garrett or Beechnut?"
SMQ817,"During the past 5 days, including today, on how many days did {you/he/she} use snuff, such as Skoal, Skoal Bandits, or Copenhagen?"
SMQ830,"During the past 5 days, including today, on how many days did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?"
SMQ840,When did {you/he/she} last use a nicotine replacement therapy product?  Was it . . .
SMQ845,"During the past 5 days, including today, on how many days did {you/he/she} smoke tobacco in a water pipe or Hookah?"
SMQ849,"During the past 5 days, including today, on how many days did {you/he/she} smoke an e-cigarette?"
SMQ851,"Smokeless tobacco products are placed in the mouth or nose and include chewing tobacco, snuff, snus, or dissolvables.  During the past 5 days, including today, did {you/he/she} use any smokeless tobacco? (Please do not include nicotine replacement products like patches, gum, lozenge, or spray which are considered products to help {you/him/her} stop smoking.)"
SMQ857,"During the past 5 days, including today, on how many days did {you/he/she} use snus?"
SMQ861,"During the past 5 days, including today, on how many days did {you/he/she} use dissolvables such as strips or orbs?"
SMQ863,"During the past 5 days, including today, did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?"
HOD050,How many rooms are in this home?  Count the kitchen but not the bathroom.
HOQ065,"Is this {mobile home/house/apartment} owned, being bought, rented, or occupied by some other arrangement by {you/you or someone else in your family}?"
SEQN,Respondent sequence number.
PUQ100,"In the past 7 days, were any chemical products used in {your/his/her} home to control fleas, roaches, ants, termites, or other insects?"
PUQ110,"In the past 7 days, were any chemical products used in {your/his/her} lawn or garden to kill weeds?"
SEQN,Respondent sequence number.
SEQN,Respondent sequence number.
SMAQUEX,Questionnaire Mode Flag.
SMQ856,"I will now ask you about tobacco smoke in other places. During the last 7 days, {were you/was SP} working at a job or business outside of the home?"
SMQ858,"While {you were/SP was} working at a job or business outside of the home, did someone else smoke cigarettes or other tobacco products indoors?"
SMQ860,"{I will now ask you about smoking in other places.} During the last 7 days, did {you/SP} spend time in a restaurant?"
SMQ862,"While {you were/SP was} in a restaurant, did someone else smoke cigarettes or other tobacco products indoors?"
SMQ866,"During the last 7 days, {did you/SP} spend time in a bar?"
SMQ868,"While {you were/SP was} in a bar, did someone else smoke cigarettes or other tobacco products indoors?"
SMQ870,"During the last 7 days, did {you/SP} ride in a car or motor vehicle?"
SMQ872,"While {you were/SP was} riding in a car or motor vehicle, did someone else smoke cigarettes or other tobacco products?"
SMQ874,"During the last 7 days, did {you/SP} spend time in a home other than {your/his/her} own?"
SMQ876,"While {you were/SP was} in a home other than {your/his/her} own, did someone else smoke cigarettes or other tobacco products indoors?"
SMQ878,"During the last 7 days,{were you/was SP} in any other indoor area?"
SMQ880,"While {you were/SP was} in the other indoor area, did someone else smoke cigarettes or other tobacco products?"
IND235,Monthly family income (reported as a range value in dollars).
IND247,Total savings or cash assets at this time for {you/NAMES OF OTHER FAMILY/your family}.
INDFMMPC,Family monthly poverty level index categories.
INDFMMPI,"Family monthly poverty level index, a ratio of monthly family income to the HHS poverty guidelines specific to family size."
INQ012,Did {you/you or any family members 16 and older} receive income in {LAST CALENDAR YEAR} from self-employment including business and farm income? [Self-employment means you worked for yourself.]
INQ020,"The next questions are about {your/your combined family} income.  When answering these questions, please remember that by {""income/combined family income""}, I mean {your income/your income plus the income of {NAMES OF OTHER NHANES FAMILY MEMBERS} for {LAST CALENDAR YEAR}.  Did {you/you and OTHER NHANES FAMILY MEMBERS 16+} receive income in {LAST CALENDAR YEAR} from wages and salaries? [Did {you/you or OTHER FAMILY MEMBERS 16+} get paid for work in {LAST CALENDAR YEAR}.]"
INQ030,"When answering the next questions about different kinds of income members of your family might have received in {LAST CALENDAR YEAR}, please consider that we also want to know about family members less than 16 years old.  Did {you/you or any family members living here, that is: you or NAME(S) OF OTHER NHANES FAMILY MEMBERS} receive income in {LAST CALENDAR YEAR} from Social Security or Railroad Retirement?"
INQ060,Did {you/you or any family members living here} receive any disability pension [other than Social Security or Railroad Retirement] in {LAST CALENDAR YEAR}?
INQ080,Did {you/you or any family members living here} receive retirement or survivor pension [other than Social Security or Railroad Retirement or disability pension] in {LAST CALENDAR YEAR}?
INQ090,Did {you/you or any family members living here} receive Supplemental Security Income [SSI] in {LAST CALENDAR YEAR}?
INQ132,"Did {you/you or any family members living here} receive any cash assistance from a state or county welfare program such as welfare, public assistance, AFDC, or some other program in {LAST CALENDAR YEAR}?"
INQ140,"Did {you/you or any family members living here} receive interest from savings or other bank accounts or income from dividends received from stocks or mutual funds or net rental income from property, royalties, estates, or trusts in {LAST CALENDAR YEAR}?"
INQ150,"Did {you/you or any family members living here} receive income in {LAST CALENDAR YEAR} from child support, alimony, contributions from family or others, VA payments, worker's compensation, or unemployment compensation?"
INQ244,"Do {you/NAMES OF OTHER FAMILY/you and NAMES OF FAMILY MEMBERS} have more than $5,000 in savings at this time?  Please include money in your checking accounts."
SEQN,Respondent sequence number.
AUQ136,{Have you/Has SP} ever had 3 or more ear infections? Please include ear infections {you/he/she} may have had when {you were/he was/she was} a child.
AUQ138,{Have you/Has SP} ever had a tube placed in {your/his/her} ear to drain the fluid from {your/his/her} ear?
CSQ010,"The next questions are about {your/SP's} sense of smell. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to smell, such as not being able to smell things or things not smelling the way they are supposed to?"
CSQ020,"How would {you/SP} rate {your/his/her} ability to smell now as compared to when {you were/he was/she was} 25 years old? Is it better, worse or is there no change?"
CSQ030,Do some smells bother {you/SP} although they do not bother other people?
CSQ040,"{Do you/Does SP} sometimes smell an unpleasant, bad or burning odor when nothing is there?"
CSQ060,"How long ago {did you/did SP} first notice a problem with, or a change in, {your/his/her} ability to smell?"
CSQ070,Is the problem with {your/SP's} ability to smell always there or does it come and go?
CSQ080,"The next questions are about {your/SP's} sense of taste. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to taste sweet, sour, salty or bitter foods and drinks?"
CSQ090A,"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?  salt in foods like potato chips or pretzels."
CSQ090B,"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?  sourness in foods like lemons or vinegar."
CSQ090C,"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?  sweetness in foods like peaches or ice cream."
CSQ090D,"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?  bitterness in drinks like unsweetened black coffee."
CSQ100,"Is {your/SP's} ability to taste food flavors such as chocolate, vanilla or strawberry as good as when {you were/he was/she was} 25 years old?"
CSQ110,During the past 12 months {have you/has SP} had a taste or other sensation in {your/his/her} mouth that does not go away?
CSQ120A,Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...
CSQ120B,Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...
CSQ120C,Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...
CSQ120D,Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...
CSQ120E,Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...
CSQ120F,Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...
CSQ120G,Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...
CSQ120H,Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...
CSQ140,"How long ago {did you/did SP} first notice a problem with, or a change in, {your/his/her} ability to taste?"
CSQ160,"{Have you/Has SP} ever discussed any problem with, or change in {your/his/her} ability to taste or smell with a health care provider?"
CSQ170,When was the last time {you/SP} /discussed any problem with {your/his/her} ability to taste or smell with a health care provider?
CSQ180,"The next question refers to treatments {you/SP} may have tried to improve {your/his/her} ability to taste or smell. Please make sure to include any treatments that {your/his/her} health care provider recommended. Also include any other treatments {you/he/she} may have read about and tried.  During the past 12 months, {have you/has SP} tried any treatments to improve {your/his/her} ability to taste or smell?"
CSQ190,"During the past 12 months, {have you/has SP} experienced a problem with {your/his/her} general health, work or {your/his/her} enjoyment of life because of a problem with {your/his/her) ability to taste or smell?"
CSQ200,"During the past 12 months, {have you/has SP} had any of the following ...a head cold or flu for longer than a month?"
CSQ202,"During the past 12 months, {have you/has SP} had any of the following ... persistent dry mouth (not enough saliva)?"
CSQ204,"During the past 12 months, {have you/has SP} had any of the following ...frequent nasal congestion from allergies?"
CSQ210,{Have you/Has SP} ever had any of the following?  wisdom teeth removed.
CSQ220,{Have you/Has SP} ever had any of the following?  tonsils removed.
CSQ240,{Have you/Has SP} ever had any of the following?  a loss of consciousness because of a head injury.
CSQ250,{Have you/Has SP} ever had any of the following?  a broken nose or other serious injury to face or skull.
CSQ260,{Have you/Has SP} ever had any of the following?  two or more sinus infections.
SEQN,Respondent sequence number.
CBQ505,"{I'll tell you when you will need it.} For the first few questions, please answer yes or no. In the past 12 months, did you buy food from fast food or pizza places? SP interview version: In the past 12 months, did {you/SP} buy food from fast food or pizza places?"
CBQ535,"The last time when you ate out or bought food at a fast-food or pizza place, did you see nutrition or health information about any foods on the menu? SP interview version: The last time when {you/SP} ate out or bought food at a fast-food or pizza place, did {you/he/she} see nutrition or health information about any foods on the menu?"
CBQ540,Did you use the information in deciding which foods to buy? SP interview version: Did {you/SP} use the information in deciding which foods to buy?
CBQ545,"{Please open your hand card booklet and turn to hand card 1 to answer the next question.} If nutrition or health information were readily available in fast food or pizza places, would you use it often, sometimes, rarely, or never, in deciding what to order? SP interview version: If nutrition or health information were readily available in fast food or pizza places, would {you/SP} use it often, sometimes, rarely, or never, in deciding what to order?"
CBQ550,"[For the following questions, please answer yes or no.] In the past 12 months, did you eat at a restaurant with waiter or waitress service? SP interview version: In the past 12 months, did {you/SP} eat at a restaurant with waiter or waitress service?"
CBQ552,Think about the last time {you/SP} ate at a restaurant with a waiter or waitress. Is it a chain-restaurant?
CBQ580,"The last time you ate at a restaurant with a waiter or waitress, did you see nutrition or health information about any foods on the menu? SP interview version: Did {you/SP} see nutrition or health information about any foods on the menu?"
CBQ585,Did you use the information in deciding which foods to buy? SP interview version: Did {you/SP} use the information in deciding which foods to buy?
CBQ590,"{Please look at hand card 1 [again].} If nutrition information were readily available in restaurants with a waiter or waitress, would you use it often, sometimes, rarely, or never, in deciding what to order? SP interview version: If nutrition or health information were readily available in restaurants with a waiter or waitress, would {you/SP} use it often, sometimes, rarely, or never, in deciding what to order?"
CBQ596,Next I'm going to ask a few questions about the nutritional guidelines recommended for Americans by the federal government.  {Have you/Has SP} heard of My Plate?
CBQ606,{Have you/Has SP} looked up the My Plate plan on the internet?
CBQ611,{Have you/Has SP} tried to follow the recommendations in the My Plate plan?
DBD030,How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?
DBD041,How old was {SP} when {he/she} was first fed formula?
DBD050,How old was {SP} when {he/she} completely stopped drinking formula?
DBD055,"This next question is about the first thing that {SP} was given other than breast milk or formula.  Please include juice, cow's milk, sugar water, baby food, or anything else that {SP} might have been given, even water.  How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days)"
DBD061,How old was {SP} when {he/she} was first fed milk?
DBD381,"During the school year, about how many times a week {do you/does SP} usually get a complete school lunch?"
DBD411,"During the school year, about how many times a week {do you/does SP} usually get a complete breakfast at school?"
DBD895,"Next I'm going to ask you about meals.  By meal, I mean breakfast, lunch and dinner.  During the past 7 days, how many meals {did you/did SP} get that were prepared away from home in places such as restaurants, fast food places, food stands, grocery stores, or from vending machines?  {Please do not include meals provided as part of the school lunch or school breakfast./Please do not include meals provided as part of the community programs you reported earlier.}"
DBD900,How many of those meals {did you/did SP} get from a fast-food or pizza place?
DBD905,"Some grocery stores sell ""ready to eat"" foods such as salads, soups, chicken, sandwiches and cooked vegetables in their salad bars and deli counters.  During the past 30 days, how often did {you/SP} eat ""ready to eat"" foods from the grocery store?  Please do not include sliced meat or cheese you buy for sandwiches and frozen or canned foods."
DBD910,"During the past 30 days, how often did you {SP} eat frozen meals or frozen pizzas?  Here are some examples of frozen meals and frozen pizzas."
DBQ010,Now I'm going to ask you some general questions about {SP's} eating habits.  Was {SP} ever breastfed or fed breastmilk?
DBQ073A,What type of milk was {SP} first fed?  Was it . . .
DBQ073B,What type of milk was {SP} first fed?  Was it . . .
DBQ073C,What type of milk was {SP} first fed?  Was it . . .
DBQ073D,What type of milk was {SP} first fed?  Was it . . .
DBQ073E,What type of milk was {SP} first fed? Was it . . .
DBQ073U,What type of milk was {SP} first fed?  Was it . . .
DBQ197,"Now I'm going to ask a few questions about milk products.  Do not include their use in cooking.  In the past 30 days, how often did {you/SP} have milk to drink or on {your/his/her} cereal?  Please include chocolate and other flavored milks as well as hot cocoa made with milk.  Do not count small amounts of milk added to coffee or tea.  Would you say..."
DBQ223A,What type of milk was it?  Was it usually . . .
DBQ223B,What type of milk was it?  Was it usually . . .
DBQ223C,What type of milk was it?  Was it usually . . .
DBQ223D,What type of milk was it?  Was it usually . . .
DBQ223E,What type of milk was it? Was it usually . . .
DBQ223U,What type of milk was it?  Was it usually . . .
DBQ229,"The next question is about regular milk use.  A regular milk drinker is someone who uses any type of milk at least 5 times a week.  Using this definition, which statement best describes {you/SP}?..."
DBQ235A,"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old?  Would you say..."
DBQ235B,"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old?  Would you say..."
DBQ235C,"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old?  Would you say..."
DBQ301,"The next questions are about meals provided by community or government programs.  In the past 12 months, did {you/SP} receive any meals delivered to {your/his/her} home from community programs, ""Meals on Wheels"", or any other programs?"
DBQ330,"In the past 12 months, did {you/SP} go to a community program or senior center to eat prepared meals?"
DBQ360,"During the school year, {do you/does SP} attend a kindergarten, grade school, junior or high school?"
DBQ370,Does {your/SP's} school serve school lunches?  These are complete lunches that cost the same every day.
DBQ390,"{Do you/Does SP} get these lunches free, at a reduced price, or {do you/does he/she} pay full price?"
DBQ400,Does {your/SP's} school serve a complete breakfast that costs the same every day?
DBQ421,"{Do you/Does SP} get these breakfasts free, at a reduced price, or {do you/does he/she} pay full price?"
DBQ424,(Do you/Does SP) get a free or reduced price meal at any summer program (he/she) attends?
DBQ700,"Next I have some questions about {your/SP?s} eating habits.  In general, how healthy is {your/his/her} overall diet?  Would you say . . ."
SEQN,Respondent sequence number.
CBD070,"The next questions are about how much money {your family spends/you spend} on food. First I'll ask you about money spent at supermarkets or grocery stores. Then we will talk about money spent at other types of stores. During the past 30 days, how much money {did your family/did you} spend at supermarkets or grocery stores? Please include purchases made with food stamps."
CBD090,About how much money was spent on nonfood items?
CBD110,About how much money {did your family/did you} spend on food at these types of stores? (Please do not include any stores you have already told me about.)
CBD120,"During the past 30 days, how much money {did your family/did you} spend on eating out? Please include money spent in cafeterias at work or at school or on vending machines, for all family members."
CBD130,"During the past 30 days, how much money {did your family/did you} spend on food carried out or delivered? Please do not include money you have already told me about."
SEQN,Respondent sequence number.
HSAQUEX,Source of Health Status Data
HSD010,Next I have some general questions about {your/SP's} health. Would you say {your/SP's} health in general is . . .
HSQ500,Did {you/SP} have a head cold or chest cold that started during those 30 days?
HSQ510,Did {you/SP} have a stomach or intestinal illness with vomiting or diarrhea that started during those 30 days?
HSQ520,"Did {you/SP} have flu, pneumonia, or ear infections that started during those 30 days?"
HSQ571,"During the past 12 months, that is, since (DISPLAY CURRENT MONTH, DISPLAY LAST YEAR), (have you/has SP) donated blood?"
HSQ580,How long ago was {your/SP's} last blood donation?
HSQ590,"Except for tests {you/SP} may have had as part of blood donations, {have you/has he/has she} ever had {your/his/her} blood tested for the AIDS virus infection?"
SEQN,Respondent sequence number.
SEQN,Respondent sequence number.
SLD010H,The next set of questions is about your sleeping habits.  How much sleep {do you/does SP} usually get at night on weekdays or workdays?
SLQ050,{Have you/Has SP} ever told a doctor or other health professional that {you have/s/he has} trouble sleeping?
SLQ060,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} a sleep disorder?
RXD530,What is the size or dose that {you take/SP takes}?
RXQ510,"Doctors and other health care providers sometimes recommend that {you take/SP takes) a low-dose aspirin each day to prevent heart attacks, strokes, or cancer. {Have you/Has SP} ever been told to do this?"
RXQ515,{Are you/Is SP} now following this advice?
RXQ520,"On {your/SP's} own, {are you/is SP} now taking a low-dose aspirin each day to prevent heart attacks, strokes, or cancer?"
RXQ525G,"How often {do you/does SP} take an aspirin? (ASA taken daily, on alternate days, or another schedule?)"
RXQ525Q,How often {do you/does SP} take an aspirin? (Number of ASA doses taken per day or per week).
RXQ525U,How often {do you/does SP} take an aspirin? (ASA doses taken on daily or weekly basis?)
SEQN,Respondent sequence number.
DUQ200,"The following questions ask about use of drugs not prescribed by a doctor. Please remember that your answers to these questions are strictly confidential. The first questions are about marijuana and hashish. Marijuana is also called pot or grass. Marijuana is usually smoked, either in cigarettes, called joints, or in a pipe. It is sometimes cooked in food. Hashish is a form of marijuana that is also called 'hash.' It is usually smoked in a pipe. Another form of hashish is hash oil. Have you ever, even once, used marijuana or hashish?"
DUQ210,How old were you the first time you used marijuana or hashish?
DUQ211,Have you ever smoked marijuana or hashish at least once a month for more than one year?
DUQ213,How old were you when you started smoking marijuana or hashish at least once a month for one year?
DUQ215Q,How long has it been since you last smoked marijuana or hashish at least once a month for one year?
DUQ215U,How long has it been since you last smoked marijuana or hashish at least once a month for one year?
DUQ217,"During the time that you smoked marijuana or hashish, how often would you usually use it?"
DUQ219,"During the time that you smoked marijuana or hashish, how many joints or pipes would you usually smoke in a day?"
DUQ220Q,How long has it been since you last used marijuana or hashish?
DUQ220U,How long has it been since you last used marijuana or hashish?
DUQ230,"During the past 30 days, on how many days did you use marijuana or hashish?"
DUQ240,"Have you ever used cocaine, crack cocaine, heroin, or methamphetamine?"
DUQ250,"The following questions are about cocaine, including all the different forms of cocaine such as powder, 'crack', 'free base', and coca paste.  Have you ever, even once, used cocaine, in any form?"
DUQ260,"How old were you the first time you used cocaine, in any form?"
DUQ270Q,"How long has it been since you last used cocaine, in any form?"
DUQ270U,"How long has it been since you last used cocaine, in any form?"
DUQ272,"During your life, altogether how many times have you used cocaine, in any form?"
DUQ280,"During the past 30 days, on how many days did you use cocaine, in any form?"
DUQ290,"The following questions are about heroin.  Have you ever, even once, used heroin?"
DUQ300,How old were you the first time you used heroin?
DUQ310Q,How long has it been since you last used heroin?
DUQ310U,How long has it been since you last used heroin?
DUQ320,"During the past 30 days, on how many days did you use heroin?"
DUQ330,"The following questions are about methamphetamine, also known as crank, crystal, ice or speed.  Have you ever, even once, used methamphetamine?"
DUQ340,How old were you the first time you used methamphetamine?
DUQ350Q,How long has it been since you last used methamphetamine?
DUQ350U,How long has it been since you last used methamphetamine?
DUQ352,"During your life, altogether how many times have you used methamphetamine?"
DUQ360,"During the past 30 days, on how many days did you use methamphetamine?"
DUQ370,"The following questions are about the different ways that certain drugs can be used.  Have you ever, even once, used a needle to inject a drug not prescribed by a doctor?"
DUQ380A,Which of the following drugs have you injected using a needle?
DUQ380B,Which of the following drugs have you injected using a needle?
DUQ380C,Which of the following drugs have you injected using a needle?
DUQ380D,Which of the following drugs have you injected using a needle?
DUQ380E,Which of the following drugs have you injected using a needle?
DUQ390,How old were you when you first used a needle to inject any drug not prescribed by a doctor?
DUQ400Q,How long ago has it been since you last used a needle to inject a drug not prescribed by a doctor?
DUQ400U,How long ago has it been since you last used a needle to inject a drug not prescribed by a doctor?
DUQ410,"During your life, altogether how many times have you injected drugs not prescribed by a doctor?"
DUQ420,Think about the period of your life when you injected drugs the most often.  How often did you inject then?
DUQ430,Have you ever been in a drug treatment or drug rehabilitation program?
SEQN,Respondent sequence number.
DUQ200,"The following questions ask about use of drugs not prescribed by a doctor. Please remember that your answers to these questions are strictly confidential. The first questions are about marijuana and hashish. Marijuana is also called pot or grass. Marijuana is usually smoked, either in cigarettes, called joints, or in a pipe. It is sometimes cooked in food. Hashish is a form of marijuana that is also called 'hash.' It is usually smoked in a pipe. Another form of hashish is hash oil. Have you ever, even once, used marijuana or hashish?"
DUQ210,How old were you the first time you used marijuana or hashish?
DUQ211,Have you ever smoked marijuana or hashish at least once a month for more than one year?
DUQ213,How old were you when you started smoking marijuana or hashish at least once a month for one year?
DUQ215Q,How long has it been since you last smoked marijuana or hashish at least once a month for one year?
DUQ215U,How long has it been since you last smoked marijuana or hashish at least once a month for one year?
DUQ217,"During the time that you smoked marijuana or hashish, how often would you usually use it?"
DUQ219,"During the time that you smoked marijuana or hashish, how many joints or pipes would you usually smoke in a day?"
DUQ220Q,How long has it been since you last used marijuana or hashish?
DUQ220U,How long has it been since you last used marijuana or hashish?
DUQ230,"During the past 30 days, on how many days did you use marijuana or hashish?"
DUQ240,"Have you ever used cocaine, crack cocaine, heroin, or methamphetamine?"
DUQ250,"The following questions are about cocaine, including all the different forms of cocaine such as powder, 'crack', 'free base', and coca paste.  Have you ever, even once, used cocaine, in any form?"
DUQ260,"How old were you the first time you used cocaine, in any form?"
DUQ270Q,"How long has it been since you last used cocaine, in any form?"
DUQ270U,"How long has it been since you last used cocaine, in any form?"
DUQ272,"During your life, altogether how many times have you used cocaine, in any form?"
DUQ280,"During the past 30 days, on how many days did you use cocaine, in any form?"
DUQ290,"The following questions are about heroin.  Have you ever, even once, used heroin?"
DUQ300,How old were you the first time you used heroin?
DUQ310Q,How long has it been since you last used heroin?
DUQ310U,How long has it been since you last used heroin?
DUQ320,"During the past 30 days, on how many days did you use heroin?"
DUQ330,"The following questions are about methamphetamine, also known as crank, crystal, ice or speed.  Have you ever, even once, used methamphetamine?"
DUQ340,How old were you the first time you used methamphetamine?
DUQ350Q,How long has it been since you last used methamphetamine?
DUQ350U,How long has it been since you last used methamphetamine?
DUQ352,"During your life, altogether how many times have you used methamphetamine?"
DUQ360,"During the past 30 days, on how many days did you use methamphetamine?"
DUQ370,"The following questions are about the different ways that certain drugs can be used.  Have you ever, even once, used a needle to inject a drug not prescribed by a doctor?"
DUQ380A,Which of the following drugs have you injected using a needle?
DUQ380B,Which of the following drugs have you injected using a needle?
DUQ380C,Which of the following drugs have you injected using a needle?
DUQ380D,Which of the following drugs have you injected using a needle?
DUQ380E,Which of the following drugs have you injected using a needle?
DUQ390,How old were you when you first used a needle to inject any drug not prescribed by a doctor?
DUQ400Q,How long ago has it been since you last used a needle to inject a drug not prescribed by a doctor?
DUQ400U,How long ago has it been since you last used a needle to inject a drug not prescribed by a doctor?
DUQ410,"During your life, altogether how many times have you injected drugs not prescribed by a doctor?"
DUQ420,Think about the period of your life when you injected drugs the most often.  How often did you inject then?
DUQ430,Have you ever been in a drug treatment or drug rehabilitation program?
SEQN,Respondent sequence number.
SEQN,Respondent sequence number.
WHQ030M,Do you consider yourself now to be . . .
WHQ500,Which of the following are you trying to do about your weight:
WHQ520,"In the past year, how often have you tried to lose weight?  Would you say . . ."
ALQ101,"The next questions are about drinking alcoholic beverages.  Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage?  By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor."
ALQ110,"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?"
ALQ120Q,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?"
ALQ120U,UNIT OF MEASURE.
ALQ130,"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?"
ALQ141Q,"In the past 12 months, on how many days did {you/SP} have {DISPLAY NUMBER} or more drinks of any alcoholic beverage? PROBE:  How many days per week, per month, or per year did {you/SP} have {DISPLAY NUMBER} or more drinks in a single day?"
ALQ141U,UNIT OF MEASURE.
ALQ151,Was there ever a time or times in {your/SP's} life when {you/he/she} drank {DISPLAY NUMBER} or more drinks of any kind of alcoholic beverage almost every day?
ALQ160,"During the past 30 days, how many times did {you/SP} drink {DISPLAY NUMBER} or more drinks of any kind of alcohol in about two hours?"
SEQN,Respondent sequence number.
ALD020,"During your life, on how many days have you had at least one drink of alcohol?"
ALD030,"During the past 30 days, on how many days did you have at least one drink of alcohol?"
ALD040,"During the past 30 days, on how many days did you have {DISPLAY NUMBER} or more drinks of alcohol in a row, that is, within a couple of hours?"
ALQ010,"English Text: The following questions ask about alcohol use. This includes beer, wine, wine coolers, and liquor such as rum, gin, vodka, or whiskey. This does not include drinking a few sips of wine for religious purposes. How old were you when you had your first drink of alcohol, other than a few sips?"
SEQN,Respondent sequence number.
DPQ010,"Over the last 2 weeks, how often have you been bothered by the following problems: little interest or pleasure in doing things?  Would you say..."
DPQ020,"[Over the last 2 weeks, how often have you been bothered by the following problems:] feeling down, depressed, or hopeless?"
